english_phrase,spanish_translation,notes
"The ability to","La capacidad de","Use for descriptions that begin with 'The ability to' to maintain consistent tone."
"Working together with others to","Trabajar junto con otras personas para","Applies to collaboration and teamwork concepts."
"A form of","Una forma de","Use when describing art forms or entertainment."
"A state of","Un estado de","Maintains consistent tone for emotional or physical states."
"Being dedicated to","Estar comprometido con","Use for commitment-oriented descriptions."
"Sharing information clearly and respectfully with others","Compartir información con claridad y respeto con otras personas","Use for communication-related entries."
"A group of people who share common interests, goals, or values","Un grupo de personas que comparten intereses, metas o valores","Anchors community-oriented definitions."
"Caring for others and wanting to help them when they are suffering or in need","Cuidar de otras personas y querer ayudarlas cuando sufren o tienen necesidad","Standardizes compassion-related descriptions."
"The use of scientific knowledge and tools to","El uso de conocimientos científicos y herramientas para","Use across technology and innovation entries."
"Respecting and accepting differences in others","Respetar y aceptar las diferencias en otras personas","Apply to tolerance, diversity, and inclusion concepts."
"A readiness to","La disposición para","Use when describing willingness or openness."
"Facing a difficult task or problem that requires effort and determination to overcome","Enfrentar una tarea o un problema difícil que requiere esfuerzo y determinación para superarlo","Use for challenge and perseverance values."
