name_en,description_en,example_en,category_en,tags_en,name_es,description_es,example_es,category_es,tags_es
"Acceptance","The willingness to embrace what is, rather than what should be or might have been. It involves making peace with yourself, others, and life's imperfections.","After months of struggling with chronic pain, Sarah practiced acceptance by acknowledging her new limitations while finding different ways to remain active and connected with others, rather than dwelling on her previous capabilities.","Personal","embrace; receive; welcome; allow; permit; tolerate; acknowledge; recognize; include","Aceptación","La disposición para abrazar lo que es, en lugar de lo que debería ser o pudo haber sido. Implica reconciliarte contigo, con otras personas y con las imperfecciones de la vida.","Después de meses de lidiar con dolor crónico, Sarah practicó la aceptación al reconocer sus nuevas limitaciones mientras encontraba distintas maneras de mantenerse activa y conectada con otras personas, en lugar de aferrarse a sus capacidades anteriores.","Personal","abrazar; recibir; acoger; permitir; tolerar; reconocer; admitir; incluir; aceptar"
"Accountability","Taking responsibility for one's actions and being answerable for their outcomes.","After the project missed its deadline, the team leader demonstrated accountability by acknowledging the mistakes and developing a plan to fix them.","Personal","answer; report; explain; justify; own; accept; acknowledge; address; resolve","Rendición de cuentas","Asumir la responsabilidad de las propias acciones y responder por sus resultados.","Después de que el proyecto no llegara a la fecha límite, la líder del equipo demostró rendición de cuentas al reconocer los errores y elaborar un plan para corregirlos.","Personal","responder; explicar; justificar; asumir; aceptar; reconocer; afrontar; corregir; cumplir"
"Achievement","Reaching goals and fulfilling your potential through hard work and determination.","After years of study and practice, earning her medical degree represented a significant achievement that opened doors to help others.","Personal","accomplish; attain; reach; complete; earn; succeed; realize; fulfill; master","Logro","Alcanzar metas y desarrollar tu potencial mediante esfuerzo y determinación.","Tras años de estudio y práctica, obtener su título de medicina representó un logro significativo que le abrió puertas para ayudar a otras personas.","Personal","lograr; alcanzar; cumplir; conseguir; ganar; triunfar; realizar; superar; dominar"
"Action","Taking steps to achieve a goal or complete a task.","Instead of just talking about helping the homeless, she took action by organizing a community drive for winter clothing and necessities.","Personal","do; perform; execute; implement; conduct; carry out; undertake; pursue; initiate","Acción","Dar pasos concretos para alcanzar un objetivo o completar una tarea.","En lugar de solo hablar sobre ayudar a las personas sin hogar, tomó acción al organizar una colecta comunitaria de ropa y artículos de invierno.","Personal","actuar; realizar; ejecutar; implementar; conducir; cumplir; emprender; impulsar; iniciar"
"Adventure","A willingness to take risks and explore new experiences for enjoyment and growth.","She embraced adventure by accepting a job in a foreign country where she knew no one and didn't speak the language.","Personal","explore; discover; experience; journey; venture; risk; seek; travel; embrace","Aventura","La disposición para asumir riesgos y explorar nuevas experiencias por disfrute y crecimiento.","Aceptó la aventura al tomar un trabajo en un país extranjero donde no conocía a nadie ni hablaba el idioma.","Personal","explorar; descubrir; experimentar; viajar; aventurarse; arriesgar; buscar; moverse; atreverse"
"Advocacy","Speaking up for what is right and supporting others to create positive change in the community.","The teacher practiced advocacy by addressing the school board about the need for more resources for students with disabilities.","Social","champion; support; defend; promote; speak; represent; advance; argue; lobby","Defensa","Alzar la voz por lo que es justo y apoyar a otras personas para crear cambios positivos en la comunidad.","La docente practicó la defensa al presentarse ante la junta escolar para solicitar más recursos para el estudiantado con discapacidades.","Social","defender; apoyar; respaldar; promover; hablar; representar; impulsar; argumentar; gestionar"
"Ambiguity","The quality of being open to more than one interpretation or having unclear meaning.","The poem's ambiguity allows readers to find their own meaning in the verses, making it personally relevant to each person.","Personal","interpret; question; consider; explore; analyze; navigate; accept; understand; appreciate","Ambigüedad","La cualidad de estar abierto a más de una interpretación o tener un significado poco claro.","La ambigüedad del poema permite que cada persona lectora encuentre su propio significado en los versos, haciéndolo relevante de manera personal.","Personal","interpretar; preguntar; considerar; explorar; analizar; navegar; aceptar; comprender; apreciar"
"Ambition","A strong desire to achieve goals and turn dreams into reality drives people to work hard and overcome challenges.","Her ambition to become the first person in her family to graduate from college motivated her to study late into the night despite working full-time.","Personal","aspire; strive; seek; pursue; desire; aim; drive; reach; advance","Ambición","Un fuerte deseo de alcanzar metas y convertir sueños en realidad impulsa a trabajar con esfuerzo y superar desafíos.","Su ambición de convertirse en la primera persona de su familia en graduarse de la universidad la motivó a estudiar hasta tarde pese a trabajar tiempo completo.","Personal","aspirar; esforzarse; buscar; perseguir; desear; apuntar; impulsarse; alcanzar; avanzar"
"Appreciation","Showing gratitude and recognizing the good things or people in life.","The manager expressed appreciation by writing personalized thank-you notes highlighting each team member's specific contributions to the successful project.","Interpersonal","value; recognize; acknowledge; cherish; treasure; admire; respect; notice; praise","Aprecio","Expresar gratitud y reconocer lo bueno de la vida o de otras personas.","La gerente expresó aprecio al escribir notas de agradecimiento personalizadas que destacaban las contribuciones específicas de cada integrante del equipo al proyecto exitoso.","Interpersonal","valorar; reconocer; agradecer; atesorar; admirar; respetar; notar; elogiar; celebrar"
"Approachability","Being open and friendly to others, making it easy for them to talk and share their thoughts.","The CEO demonstrated approachability by eating lunch in the company cafeteria and welcoming employees to sit and chat with her.","Interpersonal","welcome; engage; connect; invite; include; listen; receive; respond; interact","Cercanía","Ser abierto y amable con las demás personas, facilitando que se acerquen y compartan sus ideas.","La directora ejecutiva demostró cercanía al almorzar en la cafetería de la empresa y dar la bienvenida a quienes quisieran sentarse y conversar con ella.","Interpersonal","acoger; conversar; conectar; invitar; incluir; escuchar; recibir; responder; interactuar"
"Authenticity","Being true to oneself and honest with others, showing real feelings and beliefs.","During the job interview, she showed authenticity by honestly discussing both her strengths and areas where she needed growth.","Personal","express; reveal; represent; embody; demonstrate; live; practice; maintain; honor","Autenticidad","Vivir y expresarte de manera sincera, alineada con tus valores y sentimientos reales.","El artista mostró autenticidad al compartir su historia personal en la exposición, aun cuando sabía que provocaría conversaciones difíciles.","Personal","ser; expresar; mostrar; alinear; honrar; revelar; actuar; vivir; confiar"
"Balance","Maintaining a fair and even distribution of different elements in life or work.","She achieved balance by dedicating time each week to her career, family, health, and personal interests without letting any one area dominate.","Personal","harmonize; integrate; manage; distribute; allocate; proportion; regulate; stabilize; calibrate","Equilibrio","Distribuir tu tiempo y energía de manera armoniosa entre diferentes responsabilidades y necesidades.","Para mantener el equilibrio, reservó horas específicas para el trabajo, la familia y el descanso, evitando que una sola área consumiera todo su enfoque.","Personal","equilibrar; armonizar; ajustar; compensar; moderar; organizar; priorizar; dosificar; balancear"
"Beauty","An aesthetic quality that pleases the senses and evokes feelings of joy or admiration.","The community garden brought beauty to the once-abandoned lot, creating a space where people could experience nature's colors, scents, and textures.","Personal","appreciate; create; design; craft; express; arrange; compose; admire; perceive","Belleza","Reconocer y apreciar la armonía, la estética y la inspiración que existen en el mundo.","Encontró belleza en las pequeñas flores urbanas que fotografiaba cada mañana camino al trabajo, recordándose que la naturaleza persiste incluso en la ciudad.","Personal","apreciar; admirar; observar; contemplar; disfrutar; celebrar; descubrir; inspirar; resaltar"
"Benevolence","Showing kindness and helping others without expecting anything in return.","After the storm, neighbors demonstrated benevolence by sharing generators, clearing fallen trees from each other's properties, and cooking meals for those without power.","Interpersonal","give; help; support; assist; provide; contribute; offer; serve; benefit","Benevolencia","Desear y hacer el bien a otras personas a través de actos generosos.","Su benevolencia se manifestó al organizar comidas semanales para el refugio local y escuchar con paciencia a quienes necesitaban compañía.","Interpersonal","beneficiar; cuidar; ayudar; donar; ofrecer; aliviar; acompañar; servir; compartir"
"Boldness","Taking risks and facing challenges with confidence, even when afraid.","She showed boldness by being the first to speak up about unfair practices in the workplace, despite the risk to her position.","Personal","risk; venture; initiate; challenge; pioneer; lead; break; push; advance","Audacia","Atreverse a tomar decisiones valientes y expresar ideas sin miedo excesivo.","Mostró audacia al proponer una estrategia radicalmente distinta en la reunión, respaldándola con datos y asumiendo el riesgo de una reacción crítica.","Personal","atreverse; arriesgar; proponer; avanzar; enfrentar; desafiar; hablar; liderar; persistir"
"Bravery","Facing fears and challenges with courage, even when feeling scared or uncertain.","The child demonstrated bravery by giving his speech to the entire school despite his fear of public speaking.","Personal","face; confront; encounter; withstand; endure; overcome; challenge; stand; defend","Valentía","Enfrentar el miedo, el peligro o la incertidumbre con determinación.","Su valentía quedó clara cuando denunció la corrupción en la empresa, aun sabiendo que podría afectar su puesto.","Personal","enfrentar; afrontar; resistir; proteger; defender; actuar; denunciar; perseverar; arriesgar"
"Camaraderie","Building strong relationships and trust among people working together, creating a sense of friendship and support.","The team developed camaraderie through shared challenges, celebrations of small wins, and supporting each other during setbacks.","Interpersonal","bond; connect; relate; share; support; trust; unite; ally; associate","Camaradería","Construir lazos de confianza y apoyo mutuo dentro de un grupo.","La camaradería del equipo se fortaleció durante el retiro, cuando compartieron historias personales y se animaron en actividades colaborativas.","Interpersonal","compartir; apoyar; alentar; unir; colaborar; confiar; celebrar; conectar; acompañar"
"Capitalism","An economic system where individuals own businesses and property, and prices are determined by competition in the market.","The entrepreneur embodied capitalism by investing her savings to start a small business, taking risks, and responding to market demands.","Social","invest; profit; compete; build; grow; market; trade; own; develop","Capitalismo","Un sistema económico basado en la propiedad privada y la inversión para generar crecimiento y riqueza.","El informe analizaba cómo el capitalismo impulsa la innovación tecnológica al incentivar a las empresas a invertir en investigación y desarrollo.","Social","invertir; competir; innovar; producir; comerciar; crecer; financiar; arriesgar; optimizar"
"Caring","Showing kindness and concern for others, helping them when they need support.","The nurse demonstrated caring by sitting with the anxious patient, explaining procedures thoroughly, and checking in frequently to ensure comfort.","Interpersonal","attend; nurture; protect; watch; tend; look after; support; help; assist","Cuidado","Atender las necesidades de otras personas con empatía y apoyo.","Mostró cuidado al visitar a su vecina mayor cada tarde, llevarle comida y acompañarla durante sus citas médicas.","Interpersonal","cuidar; atender; acompañar; apoyar; escuchar; alentar; sostener; ayudar; proteger"
"Celebration","A joyful event or gathering to honor a special occasion or achievement.","The team organized a celebration to recognize their colleague's ten years with the company, sharing stories and presenting a meaningful gift.","Interpersonal","honor; recognize; commemorate; observe; mark; acknowledge; rejoice; praise; toast","Celebración","Un evento o reunión alegre para honrar una ocasión especial o un logro.","El equipo organizó una celebración para reconocer los diez años de su colega en la empresa, compartiendo historias y entregándole un regalo significativo.","Interpersonal","honrar; reconocer; conmemorar; observar; marcar; agradecer; brindar; festejar; celebrar"
"Challenge","Facing a difficult task or problem that requires effort and determination to overcome.","Learning a new language presented a welcome challenge that pushed her to develop new skills and ways of thinking.","Personal","test; push; stretch; confront; tackle; undertake; face; attempt; endeavor","Desafío","Enfrentar una tarea o problema difícil que requiere esfuerzo y determinación para superarlo.","Aprender un idioma nuevo representó un desafío bienvenido que la impulsó a desarrollar habilidades y formas de pensar distintas.","Personal","desafiar; exigir; afrontar; abordar; emprender; enfrentar; intentar; superar; perseverar"
"Charisma","The ability to attract, influence, and inspire others through charm and confidence.","The speaker's charisma captivated the audience, making complex concepts accessible and inspiring many to take action on environmental issues.","Interpersonal","inspire; attract; engage; connect; influence; motivate; captivate; energize; charm","Carisma","La capacidad de atraer, influir e inspirar a otras personas mediante encanto y confianza.","El carisma de la oradora cautivó al público, haciendo accesibles conceptos complejos e inspirando a muchas personas a actuar frente a los problemas ambientales.","Interpersonal","inspirar; atraer; encantar; conectar; influir; motivar; cautivar; energizar; fascinar"
"Choice","The ability to select between options or make decisions based on personal preference.","The school empowered students by giving them choice in their projects, allowing them to pursue topics that genuinely interested them.","Personal","decide; select; pick; opt; determine; elect; prefer; choose; judge","Elección","La capacidad de seleccionar entre opciones o tomar decisiones según las preferencias personales.","La escuela empoderó al estudiantado al darles elección en sus proyectos, permitiéndoles explorar temas que realmente les interesaban.","Personal","decidir; seleccionar; elegir; optar; determinar; preferir; escoger; deliberar; evaluar"
"Collaboration","Working together with others to achieve common goals and share ideas effectively.","The habitat restoration project succeeded through collaboration between scientists, community volunteers, and government officials, each contributing different expertise.","Interpersonal","cooperate; partner; coordinate; contribute; participate; team; join; unite; cocreate","Colaboración","Trabajar junto con otras personas para alcanzar metas comunes y compartir ideas con eficacia.","El proyecto de restauración de hábitats prosperó gracias a la colaboración entre científicas, voluntariado comunitario y funcionariado público, cada cual aportando su experiencia.","Interpersonal","colaborar; cooperar; coordinar; aportar; participar; aliarse; sumar; cocrear; integrar"
